OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,CustomerAge,PaymentMethod,Rating,Revenue,Month
ORD2964,2024-03-28,Central,Books,Widget A,11.0,196.02,21.0,Cash,3.0,2156.22,2024-03
ORD1431,2024-08-22,Central,Clothing,Gadget Y,10.0,127.78,69.0,Upi,3.2,1277.8,2024-08
ORD1707,2024-02-09,West,Sports,Widget B,10.0,98.58,44.0,Debit Card,2.0,985.8,2024-02
ORD1330,2024-03-16,South,Clothing,Gadget X,4.0,75.02,50.0,Debit Card,2.4,300.08,2024-03
ORD1339,2025-03-28,North,Home & Kitchen,Gadget X,9.0,393.52,20.0,Credit Card,2.2,3541.68,2025-03
ORD1921,2024-09-20,South,Toys,Widget A,10.0,369.59,55.0,Cash,3.6,3695.9,2024-09
ORD2167,2024-09-23,North,Clothing,Accessory M,7.0,211.3,35.0,Debit Card,4.4,1479.1,2024-09
ORD2983,2024-07-04,Central,Books,Accessory M,1.0,158.4,51.0,Cash,3.0,158.4,2024-07
ORD2580,2024-12-08,West,Electronics,Item N,14.0,171.67,58.0,Debit Card,2.5,2403.38,2024-12
ORD1375,2024-02-04,West,Clothing,Gizmo Z,14.0,188.65,34.0,Debit Card,1.5,2641.1,2024-02
ORD2446,2024-01-28,East,Clothing,Accessory M,4.0,140.22,27.0,Debit Card,3.3,560.88,2024-01
ORD2104,2025-02-19,South,Toys,Gadget Y,12.0,125.93,68.0,Cash,1.7,1511.16,2025-02
ORD2421,2025-01-05,Central,Toys,Gadget Y,9.0,271.87,38.0,Net Banking,3.6,2446.83,2025-01
ORD2443,2024-03-24,Central,Toys,Item N,7.0,207.03,60.0,Debit Card,1.5,1449.21,2024-03
ORD1700,2025-05-30,Central,Electronics,Device Q,7.0,101.33,48.0,Credit Card,1.6,709.31,2025-05
ORD1423,2024-04-18,Central,Sports,Widget A,11.0,190.62,63.0,Net Banking,4.4,2096.82,2024-04
ORD2470,2024-06-13,South,Home & Kitchen,Gizmo Z,7.0,173.89,60.0,Cash,2.2,1217.23,2024-06
ORD1127,2024-07-08,West,Electronics,Device Q,7.0,365.35,39.0,Cash,2.6,2557.45,2024-07
ORD2774,2025-01-26,East,Toys,Widget A,11.0,170.12,34.0,Debit Card,4.0,1871.32,2025-01
ORD1275,2024-04-13,East,Toys,Widget A,2.0,142.91,38.0,Net Banking,4.1,285.82,2024-04
ORD1470,2024-02-27,South,Books,Accessory M,6.0,161.54,43.0,Credit Card,3.0,969.24,2024-02
ORD1986,2024-01-27,East,Sports,Widget A,14.0,256.22,68.0,Upi,2.1,3587.08,2024-01
ORD1471,2025-04-20,East,Clothing,Device Q,7.0,245.0,45.0,Cash,3.8,1715.0,2025-04
ORD1928,2025-05-05,Central,Sports,Gizmo Z,7.0,355.54,68.0,Net Banking,3.1,2488.78,2025-05
ORD2481,2024-01-01,West,Books,Gadget X,1.0,159.63,66.0,Debit Card,3.0,159.63,2024-01
ORD2819,2025-04-29,East,Toys,Accessory M,10.0,340.13,43.0,Upi,2.1,3401.3,2025-04
ORD2369,2024-03-24,South,Toys,Gadget Y,8.0,93.38,45.0,Net Banking,1.2,747.04,2024-03
ORD2758,2024-07-24,North,Sports,Widget B,12.0,104.2,24.0,Debit Card,3.0,1250.4,2024-07
ORD2487,2024-06-09,West,Clothing,Gadget Y,8.0,140.87,50.0,Upi,2.5,1126.96,2024-06
ORD1328,2025-03-22,East,Home & Kitchen,Gadget Y,8.0,157.74,28.0,Upi,4.2,1261.92,2025-03
ORD2832,2025-02-26,East,Electronics,Accessory M,13.0,169.44,38.0,Upi,3.7,2202.72,2025-02
ORD1657,2024-01-07,East,Sports,Accessory M,12.0,170.44,63.0,Cash,2.9,2045.28,2024-01
ORD1876,2024-12-07,East,Toys,Device Q,9.0,166.21,49.0,Net Banking,4.7,1495.89,2024-12
ORD2389,2024-10-27,East,Electronics,Gizmo Z,8.0,149.7,25.0,Net Banking,4.1,1197.6,2024-10
ORD1110,2025-04-29,West,Sports,Device Q,7.0,227.56,47.0,Net Banking,2.2,1592.92,2025-04
ORD1196,2024-06-08,Central,Toys,Widget B,10.0,176.175,43.0,Debit Card,4.0,1761.75,2024-06
ORD1367,2024-06-16,South,Electronics,Item N,12.0,186.96,36.0,Upi,2.0,2243.52,2024-06
ORD2244,2024-02-06,East,Toys,Gadget X,10.0,267.27,39.0,Debit Card,2.4,2672.7,2024-02
ORD2568,2024-03-25,South,Toys,Item N,5.0,102.63,29.0,Credit Card,1.1,513.15,2024-03
ORD2094,2025-05-07,South,Electronics,Widget A,6.0,169.6,43.0,Net Banking,3.3,1017.6,2025-05
ORD1340,2024-07-22,West,Clothing,Device Q,14.0,177.1,37.0,Upi,1.5,2479.4,2024-07
ORD2132,2025-03-15,East,Books,Gadget X,8.0,83.83,25.0,Credit Card,2.4,670.64,2025-03
ORD2950,2024-08-23,East,Home & Kitchen,Device Q,13.0,192.905,48.0,Cash,2.2,2507.76,2024-08
ORD1983,2024-06-01,West,Toys,Widget B,4.0,424.6474999999999,51.0,Net Banking,1.3,1698.59,2024-06
ORD2516,2024-12-23,South,Electronics,Device Q,4.0,175.0,61.0,Cash,3.6,700.0,2024-12
ORD2072,2025-01-06,West,Clothing,Gadget X,7.0,337.39,27.0,Credit Card,4.5,2361.73,2025-01
ORD1860,2025-06-12,East,Electronics,Accessory M,1.0,132.2,54.0,Credit Card,4.4,132.2,2025-06
ORD1717,2025-03-16,East,Books,Widget A,13.0,424.6474999999999,57.0,Upi,1.1,5520.42,2025-03
ORD1358,2024-09-14,Central,Toys,Gizmo Z,10.0,155.22,36.0,Credit Card,3.1,1552.2,2024-09
ORD2724,2024-04-23,Central,Home & Kitchen,Gadget X,11.0,130.29,43.0,Credit Card,3.2,1433.19,2024-04
ORD1640,2024-02-17,North,Electronics,Item N,12.0,135.74,41.0,Cash,1.7,1628.88,2024-02
ORD2970,2025-05-29,North,Sports,Widget B,3.0,140.65,20.0,Credit Card,1.8,421.95,2025-05
ORD1751,2025-04-03,North,Home & Kitchen,Gizmo Z,14.0,142.13,66.0,Cash,3.0,1989.82,2025-04
ORD1725,2025-02-13,North,Books,Accessory M,3.0,247.7,52.0,Net Banking,2.9,743.1,2025-02
ORD1002,2024-09-27,West,Home & Kitchen,Gizmo Z,11.0,154.03,68.0,Credit Card,4.5,1694.33,2024-09
ORD1862,2024-06-30,North,Sports,Gadget Y,9.0,227.36,55.0,Net Banking,2.0,2046.24,2024-06
ORD2692,2024-09-20,South,Books,Gadget X,2.0,223.64,37.0,Cash,3.3,447.28,2024-09
ORD2947,2024-10-28,West,Electronics,Widget B,10.0,75.43,24.0,Upi,2.4,754.3,2024-10
ORD1997,2024-01-29,Central,Sports,Gadget Y,13.0,132.0,39.0,Upi,4.7,1716.0,2024-01
ORD2691,2024-04-25,West,Toys,Accessory M,1.0,111.54,68.0,Cash,3.0,111.54,2024-04
ORD1259,2024-10-28,Central,Sports,Widget A,1.0,190.62,65.0,Net Banking,4.5,190.62,2024-10
ORD2802,2024-11-24,East,Sports,Gizmo Z,13.0,124.39,37.0,Cash,2.0,1617.07,2024-11
ORD1977,2024-05-07,East,Home & Kitchen,Gadget X,7.0,317.29,18.0,Credit Card,3.8,2221.03,2024-05
ORD2614,2024-11-07,Central,Books,Device Q,13.0,209.21,60.0,Credit Card,4.5,2719.73,2024-11
ORD1802,2024-08-03,East,Clothing,Accessory M,9.0,85.44,45.0,Net Banking,2.0,768.96,2024-08
ORD1933,2025-04-13,North,Sports,Gadget X,12.0,138.22,40.0,Cash,5.0,1658.64,2025-04
ORD1623,2025-06-17,Central,Sports,Accessory M,6.0,289.14,38.0,Cash,4.0,1734.84,2025-06
ORD1415,2024-04-08,West,Books,Widget B,4.0,211.2,44.0,Debit Card,4.5,844.8,2024-04
ORD1108,2024-08-28,West,Toys,Accessory M,10.0,222.72,52.0,Debit Card,4.9,2227.2,2024-08
ORD2259,2024-09-26,Central,Electronics,Item N,2.0,158.61,28.0,Debit Card,2.2,317.22,2024-09
ORD1034,2024-05-10,North,Toys,Accessory M,9.0,163.58,62.0,Debit Card,1.0,1472.22,2024-05
ORD1262,2024-04-25,South,Electronics,Gizmo Z,14.0,224.26,31.0,Net Banking,4.1,3139.64,2024-04
ORD2678,2024-06-08,West,Sports,Widget A,7.0,247.29,43.0,Credit Card,4.0,1731.03,2024-06
ORD1619,2024-02-20,West,Home & Kitchen,Device Q,14.0,315.77,18.0,Upi,3.0,4420.78,2024-02
ORD2208,2024-06-18,North,Home & Kitchen,Gadget Y,13.0,165.86,68.0,Debit Card,2.1,2156.18,2024-06
ORD1419,2025-04-28,South,Toys,Gizmo Z,10.0,253.93,22.0,Net Banking,4.0,2539.3,2025-04
ORD1386,2024-10-03,East,Sports,Device Q,14.0,424.6474999999999,61.0,Upi,4.2,5945.06,2024-10
ORD2037,2025-04-22,Central,Home & Kitchen,Widget B,6.0,280.47,22.0,Cash,3.0,1682.82,2025-04
ORD2027,2024-03-01,South,Home & Kitchen,Gadget X,2.0,213.4,50.0,Cash,4.4,426.8,2024-03
ORD1918,2024-08-26,Central,Books,Gizmo Z,7.0,389.91,29.0,Debit Card,2.5,2729.37,2024-08
ORD2333,2025-06-27,West,Books,Gadget Y,1.0,194.77,25.0,Debit Card,4.6,194.77,2025-06
ORD2371,2024-04-20,West,Home & Kitchen,Accessory M,11.0,81.08,58.0,Debit Card,3.9,891.88,2024-04
ORD2495,2024-05-05,North,Electronics,Accessory M,10.0,146.26,46.0,Credit Card,3.6,1462.6,2024-05
ORD2354,2024-03-30,North,Toys,Accessory M,1.0,143.71,56.0,Credit Card,1.3,143.71,2024-03
ORD2168,2024-11-18,Central,Electronics,Widget A,10.0,309.45,18.0,Debit Card,3.1,3094.5,2024-11
ORD1611,2025-01-08,West,Electronics,Accessory M,1.0,299.17,24.0,Net Banking,2.3,299.17,2025-01
ORD1789,2025-02-23,Central,Clothing,Device Q,1.0,54.84,28.0,Cash,5.0,54.84,2025-02
ORD1571,2024-09-24,East,Books,Gadget X,6.0,368.2,42.0,Debit Card,2.8,2209.2,2024-09
ORD1204,2024-02-23,West,Toys,Widget B,3.0,253.67,62.0,Debit Card,3.9,761.01,2024-02
ORD2050,2025-04-29,Central,Sports,Gizmo Z,8.0,120.65,34.0,Cash,3.9,965.2,2025-04
ORD1229,2025-01-09,West,Books,Gadget Y,7.0,202.24,21.0,Debit Card,2.4,1415.68,2025-01
