OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,CustomerAge,PaymentMethod,Rating
ORD2964,28 Mar 2024,Central,Books,Widget A,11,196.02,21.0,Cash,
ORD1431,22/08/2024,Central,CLOTHING,Gadget Y,10,127.78,69.0,UPI,3.2
ORD1707,2024-02-09,WEST,SPORTS,Widget B,10,98.58,44.0,Debit Card,2.0
ORD1330,16/03/2024,SOUTH,CLOTHING,Gadget X,4,75.02,50.0,Debit Card,2.4
ORD1339,28/03/2025,North,Home & Kitchen,Gadget X,9,393.52,20.0,Credit Card,2.2
ORD1921,09-20-2024,south,Toys,Widget A,10,369.59,55.0,Cash,3.6
ORD2167,23/09/2024,north,CLOTHING,Accessory M,7,211.3,35.0,Debit Card,4.4
ORD2983,07-04-2024,Central,BOOKS,Accessory M,1,158.4,51.0,Cash,
ORD2580,2024-12-08,WEST,Electronics,Item N,14,171.67,58.0,Debit Card,2.5
ORD1375,04/02/2024,West,clothing,Gizmo Z,14,188.65,34.0,Debit Card,1.5
ORD2446,01-28-2024,,Clothing,Accessory M,4,140.22,27.0,Debit Card,3.3
ORD2104,19 Feb 2025,SOUTH,Toys,Gadget Y,12,125.93,68.0,Cash,1.7
ORD2421,05 Jan 2025,Central,Toys,Gadget Y,9,271.87,38.0,Net Banking,3.6
ORD2443,24/03/2024,  Central  ,TOYS,Item N,7,207.03,60.0,Debit Card,1.5
ORD1700,30/05/2025,central,Electronics,Device Q,7,101.33,48.0,Credit Card,1.6
ORD1423,04-18-2024,central,Sports,Widget A,11,,63.0,Net Banking,4.4
ORD2470,06-13-2024,South,home & kitchen,Gizmo Z,7,173.89,60.0,Cash,2.2
ORD1127,08/07/2024,West,Electronics,Device Q,7,365.35,39.0,Cash,2.6
ORD2774,01-26-2025,East,Toys,Widget A,11,170.12,34.0,Debit Card,4.0
ORD1275,04-13-2024,  East  ,Toys,Widget A,2,142.91,38.0,Net Banking,4.1
ORD1470,27 Feb 2024,South,Books,Accessory M,6,161.54,,Credit Card,3.0
ORD1986,27/01/2024,East,Sports,Widget A,14,256.22,68.0,UPI,2.1
ORD1471,20/04/2025,east,Clothing,Device Q,7,245.0,45.0,Cash,3.8
ORD1928,05 May 2025,central,Sports,Gizmo Z,7,355.54,68.0,Net Banking,3.1
ORD2481,2024-01-01,  West  ,Books,Gadget X,1,159.63,66.0,Debit Card,3.0
ORD2819,29 Apr 2025,,Toys,Accessory M,10,340.13,,UPI,2.1
ORD2369,24/03/2024,South,toys,Gadget Y,8,93.38,45.0,Net Banking,1.2
